Style	Count
Alternative Rock	446
Pop Rock	415
House	321
Folk	309
Indie Rock	291
Ballad	256
Punk	245
Synth-pop	235
Vocal	232
Ambient	225
Electro	220
Downtempo	211
Trap	206
Hard Rock	204
Heavy Metal	198
Experimental	196
Hardcore Hip-Hop	176
Gangsta	165
Cloud Rap	162
Conscious	151
Hardcore	150
Pop Rap	145
Soundtrack	138
Grime	134
Deep House	130
Techno	130
Horrorcore	129
Dance-pop	128
Boom Bap	128
Psychedelic Rock	126
Folk Rock	123
K-pop	120
Reggaeton	113
RnB/Swing	110
Soul	108
Brit Pop	107
AOR	101
Electro House	101
Rock & Roll	100
Jazzy Hip-Hop	89
Arena Rock	88
Blues Rock	84
Contemporary R&B	83
Tropical House	83
Bounce	83
Ragga HipHop	83
Contemporary	83
Chillwave	83
Pop Punk	82
Funk	79
Classic Rock	79
Indie Pop	79
Emo	78
Dream Pop	77
Power Metal	76
Disco	75
Power Pop	75
Progressive House	75
Instrumental	74
Neo-Classical	74
Soft Rock	74
Thug Rap	74
Trip Hop	73
Europop	72
Trance	72
Death Metal	71
Symphonic Rock	71
J-pop	70
Gospel	69
New Age	68
Shoegaze	68
African	67
Classical	67
New Wave	67
Post-Hardcore	65
Euro House	65
Dubstep	65
Crunk	64
Nu Metal	63
Melodic Hardcore	63
Laïkó	62
Easy Listening	62
Black Metal	62
Country	61
Gothic Metal	61
Ethereal	60
Progressive Metal	59
Éntekhno	59
Reggae	58
Grunge	58
Prog Rock	58
Hip Hop	57
Tech House	57
Metalcore	57
Nu-Disco	57
Dancehall	56
Modern	56
Glam	56
Rhythm & Blues	56
Southern Rock	55
Synthwave	55
Neo-Romantic	55
Garage Rock	54
Bassline	54
Chanson	53
Industrial	53
Celtic	53
Doom Metal	53
Score	52
Neo Soul	52
Thrash	52
Neofolk	51
Goth Rock	51
Acoustic	49
Romantic	49
Baroque	49
Impressionist	48
G-Funk	48
Speed Metal	47
Ska	47
Reggae-Pop	46
Oi	45
Ragga	45
Viking Metal	44
Contemporary Jazz	42
Melodic Death Metal	41
Post-Punk	41
Drum n Bass	40
Pub Rock	40
Folk Metal	40
Mod	40
Post-Modern	38
Flamenco	37
Opera	37
Hands Up	37
Parody	37
Tech Trance	36
Vaporwave	36
Darkwave	36
Fusion	35
Euro-Disco	35
Cumbia	35
Nueva Cancion	35
Jazz-Funk	34
Dub	34
Hard Trance	34
Disco Polo	34
Post Rock	33
Lo-Fi	33
Religious	33
Stoner Rock	33
Screw	33
Eurodance	32
Progressive Trance	32
Minimal	32
Hindustani	31
Smooth Jazz	31
Math Rock	30
Psychobilly	30
Italo-Disco	30
Bubblegum	29
Choral	29
Bluegrass	29
Country Rock	29
Swing	29
Indian Classical	29
Sludge Metal	28
Turntablism	28
Deep Techno	28
Soukous	28
Zouk	28
Drone	28
Chiptune	27
Norteño	27
Tribal House	27
Italodance	27
Berlin-School	27
Coldwave	27
Bollywood	27
Latin	27
Doo Wop	26
Big Band	26
Jazzdance	26
Deathcore	26
Dark Ambient	26
Medieval	26
Modern Classical	25
Glitch	25
Light Music	25
Modern Electric Blues	25
Roots Reggae	25
Ranchera	24
Halftime	24
Musical	24
Theme	24
Salsa	24
Romani	24
Nursery Rhymes	24
Abstract	24
Broken Beat	24
Future Jazz	24
Polka	23
Rockabilly	23
Soul-Jazz	23
UK Garage	23
Avant-garde Jazz	22
Spoken Word	22
Cool Jazz	22
Space Rock	22
Hardstyle	21
Kayōkyoku	21
Lovers Rock	21
Schlager	21
Noise	21
Post-Metal	21
Raï	21
Garage House	21
Post Bop	21
Hi NRG	21
New Jack Swing	20
Minimal Techno	20
IDM	20
EBM	20
Psy-Trance	20
Renaissance	19
Bop	19
Modal	19
Acid Rock	19
Marches	19
Highlife	19
Latin Jazz	19
Tango	19
Juke	19
Audiobook	19
Educational	19
Funk Metal	18
Happy Hardcore	18
Afrobeat	17
Big Beat	17
Honky Tonk	17
Dub Techno	17
Beat	17
Story	17
Canzone Napoletana	17
Novelty	17
Technical Death Metal	17
Rumba	17
Poetry	17
Acid Jazz	17
Hard Bop	17
Progressive Breaks	17
Goa Trance	17
Free Jazz	17
MPB	16
Bolero	16
Bossa Nova	16
Merengue	16
Surf	16
Bass Music	16
Nordic	16
Dungeon Synth	16
Vallenato	15
Free Improvisation	15
Eurobeat	15
Fado	15
Crust	15
Breakcore	15
Breakbeat	15
Samba	15
Texas Blues	15
Mariachi	14
Jungle	14
Electroclash	14
Boogie	14
Brass Band	14
Bossanova	14
Jump Blues	14
Electric Blues	14
Gypsy Jazz	13
Speed Garage	13
Rocksteady	13
Beatdown	13
City Pop	13
Jazz-Rock	13
Radioplay	13
Breaks	13
Comedy	13
Psychedelic	13
Dixieland	13
Tribal	12
Acid House	12
Swingbeat	12
Chicago Blues	12
Pacific	12
Forró	12
Field Recording	12
Ghetto	12
New Beat	11
Delta Blues	11
Krautrock	11
Louisiana Blues	11
Freestyle	11
Ragtime	11
Space-Age	11
Afro-Cuban Jazz	11
Cubano	11
Lounge	11
Yé-Yé	11
Italo House	10
Volksmusik	10
Soca	10
Leftfield	10
Deathrock	10
Military	10
Acid	10
Compas	9
Jumpstyle	9
Atmospheric Black Metal	9
Speedcore	9
Sound Collage	9
Calypso	9
Cut-up/DJ	9
Rhythmic Noise	9
Musique Concrète	9
Pachanga	8
Son	8
Hard House	8
Porro	8
Hard Techno	8
Charanga	8
Harmonica Blues	8
Donk	8
Depressive Black Metal	8
Funeral Doom Metal	8
Grindcore	7
Séga	7
No Wave	7
Dialogue	7
Ghetto House	7
Miami Bass	7
Tejano	7
Country Blues	6
Twist	6
Catalan Music	6
Hip-House	6
Piano Blues	6
Free Funk	6
Music Hall	6
Gabber	6
Power Electronics	6
Promotional	6
P.Funk	6
Batucada	6
Cha-Cha	5
Political	5
Britcore	5
Cajun	5
Guaracha	5
Illbient	5
Interview	5
DJ Battle Tool	5
Mambo	4
Art Rock	4
Afro-Cuban	4
Monolog	4
Hillbilly	4
Boogaloo	4
Guajira	4
Guaguancó	3
Education	3
Makina	3
Descarga	3
Son Montuno	3
Schranz	2
UK Street Soul	2
Boogie Woogie	2
Bleep	2
Noisecore	2
Baião	1
Beguine	1
Pornogrind	1
Goregrind	1
Avantgarde	1
